	C1_FDSW202534412	CXD_0204_FDSW210423206	CXD_0209_FDSW210423211	CXD_0210_FDSW210423212	CXD_0213_FDSW210423215	CXD_0214_FDSW210423216	CXD_0215_FDSW210423217	CXD_0801_FDSW210423161	CXD_0802_FDSW210423162	CXD_0803_FDSW210423163	CXD_0804_FDSW210423164	CXD_0805_FDSW210423165	CXD_0807_FDSW210423167	CXD_1001_FDSW210423173	CXD_1003_FDSW210423175	CXD_1004_FDSW210423176	CXD_1007_FDSW210423179	CXD_1009_FDSW210423181	CXD_1015_FDSW210423187	CXD_1201_FDSW210423188	CXD_1202_FDSW210423189	CXD_1203_FDSW210423190	CXD_1213_FDSW210423200	CXD_1214_FDSW210423201	CXD_1215_FDSW210423202	CXD_1401_FDSW210423218	CXD_1402_FDSW210423219	CXD_1408_FDSW210423225	CXD_1412_FDSW210423229	CXD_1414_FDSW210423231	CXD_1415_FDSW210423232	CXD_1604_FDSW210423236	CXD_1609_FDSW210423241	CXD_1610_FDSW210423242	CXD_1611_FDSW210423243	CXD_1612_FDSW210423244	CXD_1613_FDSW210423245	DD1_FDSW220008388	DD11_FDSW220008398	DD13_FDSW220008400	DD15_FDSW220008402	DD3_FDSW220008390	DD5_FDSW220008392	DD7_FDSW220008394	DD9_FDSW220008396	DY10_FDME210438608	DY11_FDME210438609	DY13_FDME210438611	DY15_FDME210438613	DY2_FDME210438600	DY6_FDME210438604	DY7_FDME210438605	E10_FDSW202534389	E100_FDSW202534392	E150_FDSW202534393	E20_FDSW202534390	E5_FDSW202534388	E50_FDSW202534391	LYG1_FDME210455382	LYG11_FDME210455392	LYG13_FDME210455394	LYG3_FDME210455384	LYG5_FDME210455386	LYG6_FDME210455387	LYG7_FDME210455388	N10_FDSW202534407	N100_FDSW202534410	N150_FDSW202534411	N20_FDSW202534408	N5_FDSW202534406	N50_FDSW202534409	NB1_FDME210455352	NB11_FDME210455362	NB12_FDME210455363	NB15_FDME210455366	NB2_FDME210455353	NB4_FDME210455355	NB6_FDME210455357	NB7_FDME210455358	S10_FDSW202534395	S100_FDSW202534398	S150_FDSW202534399	S20_FDSW202534396	S5_FDSW202534394	S50_FDSW202534397	SY11_FDME210455407	SY12_FDME210455408	SY13_FDME210455409	SY15_FDME210455411	SY3_FDME210455399	SY7_FDME210455403	SY9_FDME210455405	W10_FDSW202534401	W100_FDSW202534404	W150_FDSW202534405	W20_FDSW202534402	W5_FDSW202534400	W50_FDSW202534403	WZ1_L1	WZ10_L1	WZ11_L1	WZ14_L1	WZ15_FDME210455471	WZ3_L1	WZ5_L1	WZ7_FDME210455463	YC1_FDME220007405	YC11_FDME220007415	YC13_FDME220007417	YC15_FDME220007419	YC3_FDME220007407	YC5_FDME220007409	YC7_FDME220007411	YC9_FDME220007413	ZH1_FDSW220008784	ZH11_FDSW220008794	ZH13_FDSW220008796	ZH15_FDSW220008798	ZH3_FDSW220008786	ZH5_FDSW220008788	ZH7_FDSW220008790	ZH9_FDSW220008792
SD_QD_2020_06_15_bin_7	1.054686013	1.114460295	1.644708771	1.674265545	0	0	0.892351885	0	1.123122179	0	0	0	0	0	0.784584656	0	0	0.981759945	0.957309753	0	0.995023523	2.459463504	3.321998088	2.10610126	0	1.160991375	0.975887917	0	0	1.170679075	2.676621126	1.601268076	0.950863912	3.499196064	2.245323207	1.890703515	1.8232988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.725810061	1.842800711	2.186673143	1.530583632	1.522525974	1.944302131	0	0	0	0	0	0	0	1.392163856	1.492480235	1.70101063	0	1.041603187	1.761468038	0	0	0	0	0	0	0	0	1.309829086	0	1.1407839	1.214086425	1.470040702	0	0	0	0	0	0	0	0	1.029606706	1.137041807	0	1.146382459	1.013877115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_12_15_bin_6	0	19.86803129	2.072177377	1.702919168	10.00019655	6.516619909	8.697085221	1.272126514	0	0	0	4.034047874	3.886312123	17.82907932	3.355858898	4.085184124	0	2.600703408	3.451883078	27.6915204	13.80566351	1.128167949	3.031739549	4.671403441	12.02608828	0	1.275992736	0	1.230353058	2.930497343	3.260571261	0	0	4.654918652	3.180353631	2.967029776	3.685169928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2021_02_15_bin_4	0	0	0	2.082094281	22.17263638	26.33872462	9.959305645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2021_02_15_bin_5	0	1.856138458	0	0	21.10225705	30.07951277	12.65921557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.553876243	0	0	0	0	0	0	0	0	0	0	0	1.40411267	0	0	2.30548613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13826558	10.04172715	0	0.841741229	5.157151014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_100_ultra_bin_1	0	0	0	0	0	0	0	0	1.50457901	0.986031229	0	0	0	0	0	0	0	0	0.923372028	0	0	1.527956378	1.607217725	0.962512152	0	1.076638737	0	1.972296853	0	1.596965201	0.854791273	0	1.20401479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95206192	0	1.067522131	0.856333274	1.068667576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.220173592	0	0	1.245689505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_100_ultra_bin_3	0	0	1.428818084	1.210558766	0	0	0	0	1.16614193	0	0.916564765	0	0.913308189	0	0	0	1.478433707	0.960214672	0.862453547	0	0	0	1.263357108	1.057364299	0	0	0	1.496613404	0	1.088337356	1.579399109	1.009220757	2.624558827	1.160207547	0.880594302	0	1.147755096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.021989448	0	0	0	0	1.403237312	0	0	0	0	0	0	0	0	1.369877683	1.031914708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.930492683	0	0	0	0	0	0	0	0	0	1.329340629	1.193877731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_40_ultra_bin_12	0	3.71709584	10.52227026	3.631123722	2.465673835	2.289386205	2.783175829	2.827425843	13.274614	2.604274033	9.538651912	2.000068019	6.580484036	2.66933591	1.186709641	2.599346219	3.213789062	4.00632517	2.568087667	3.653566967	4.608348812	2.106478104	2.675136825	3.029803614	3.918388308	0	1.347279587	16.61376557	2.795903719	2.92918148	2.593479856	1.634942607	11.60947269	0.992911596	1.361920729	0	1.074164771	0	0	0	0.990471003	5.806966749	2.794586964	0	1.284193206	0	0	0	0	0	0	0	0.763115915	0	0	0	0	0	0	0	0	0	0	0	0	0.940174453	0	0	0	0.914610703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.096529063	0	0	0	2.027486741	4.084310231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_40_ultra_bin_16	1.468433341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.097405478	0	0	0	1.63819575	1.34122625	1.065884455	0	0	0	1.217504615	2.706095011	2.769730367	1.150773937	1.116766724	1.167970933	1.240873558	0.921071786	1.554884476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.005005042	1.504326098	1.54656121	1.719474039	1.54725568	3.876038021	0	0	0	1.046601436	0	0	0	1.466690371	4.274311749	3.34281702	1.237449363	1.420111282	2.650922845	0	0	0	0	0	0	0	0	1.065365153	1.303841135	2.20392892	2.132279253	1.944888305	1.123532974	0	0	0	0	0	0	0	1.350956966	1.40146323	1.284044679	1.37665968	1.530088308	1.056855406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_40_ultra_bin_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.212962	0	0	0.908202224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_60_normal_bin_5	2.019428228	0	1.26572405	1.317110621	0	0	0	0	2.166383088	1.851540475	1.818784938	1.48080886	1.438614155	0	1.019001444	1.305748976	1.434434709	1.642389973	3.732467148	0	1.305429474	2.125013202	3.849045563	3.267537389	2.047883645	1.26471907	0	2.195360915	1.497047391	4.891313772	3.907460868	0.960852747	1.498731001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.725639153	1.013934958	1.903864662	2.310372222	2.271690289	0.982274719	0	0	0	0	0	0	0	2.545365774	1.11325496	1.459623538	1.301983572	2.737841796	1.010483464	0	0	0	0	0	0	0	0	1.829569241	1.591579822	1.68864064	1.978382372	2.462002669	1.596068154	0	0	0	0	0	0	0	1.58642443	3.016597201	2.372887803	2.025014321	2.507370612	1.601901292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_60_ultra_bin_7	2.21580992	1.912358764	1.97364466	1.920041516	1.73247396	1.27652478	2.194631172	1.236345604	5.3860931	1.273586406	2.088160121	2.048219622	2.515915684	2.393286829	2.341495393	1.505145722	2.051967274	2.970138736	4.547987984	2.877306736	2.830376568	2.098339275	5.012499924	4.165531265	2.97413372	1.046941834	1.337033406	0	2.553983408	3.934783634	5.257443808	2.426288978	1.477847789	1.820589258	1.867104451	1.53609908	1.310238857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56634761	1.992306615	2.352048151	2.684865095	2.694328959	2.500085913	0	0	0	0	0	0	0	3.312603616	2.38045124	1.967241456	1.546748911	2.116895207	2.291971305	0	0	0	0	0	0	0	0	1.940378028	1.514020782	1.706965891	1.909538213	2.183842624	1.677918575	0	0	0	0	0	0	0	1.845434609	2.048495379	2.297058567	1.756902123	2.355866476	1.627924214	0	0	0	0	0	0	0	0	0	1.22861786	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_80_normal_bin_13	1.013157298	0.900902439	0	0.947317926	0	0	0	0	2.488217421	0	0.796667296	0.908168994	0.969351823	0	0	0	0	0	1.905138953	1.151952164	1.095461176	1.095120829	2.371524878	1.974952618	1.109988362	0	0	0	1.227894723	1.560301783	2.073588181	1.220182429	0	1.01339924	1.093103023	1.005626211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.228686377	1.283529495	1.609649273	1.568890868	1.415539243	1.14048301	0	0	0	0	0	0	0	1.706590102	1.348360014	1.210943295	0	1.131423769	0.958168829	0	0	0	0	0	0	0	0	1.125580293	1.117917012	0.934804123	0.961591915	1.208193413	0	0	0	0	0	0	0	0	0	1.165527071	0	0.942051367	1.210976179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_80_normal_bin_14	2.470563433	1.966971997	2.182505846	1.802911374	1.690953861	1.058955466	2.333752282	1.28739677	5.065146771	1.40149087	1.756213991	2.250234505	2.584129966	2.529280358	2.68224202	1.585425648	2.127536958	2.529226888	4.281600374	2.949793737	2.664097994	1.57504513	5.256533422	4.536582604	2.948933474	0	1.382634719	0	2.944994263	3.750994073	4.314329106	2.090730779	1.500435673	1.601450729	1.858507951	1.399519627	1.328683403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.764566122	2.075920018	2.304353354	3.09656841	2.357891683	2.122315141	0	0	0	0	0	0	0	3.583332765	2.619525765	2.536698766	1.549507397	2.149243261	1.983018496	0	0	0	0	0	0	0	0	2.188494946	1.495944393	1.608967159	1.720505063	1.871766979	1.762004089	0	0	0	0	0	0	0	1.708212157	2.4070979	2.043617489	1.737299093	2.121933516	1.444689252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_80_normal_bin_18	0	0	0.990585181	0.992526596	0	0	1.113491475	0	1.340341939	0	1.073760533	0	0	0	0.744295218	0	0	0	1.78144457	0.950567186	0.908437698	1.061151679	1.895046111	1.676743014	1.045972384	0	0	0	1.386759508	1.86977145	2.222043399	0.878399173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.903836457	0.821761089	0.799467224	0.994067786	0	0.823234976	0	0	0	0	0	0	0	0	0	0	0	0.900042812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_80_ultra_bin_14	0	0	0	0	0	0	0.948960729	0	1.206860376	1.105199343	1.423471075	0.987522021	0	1.1504092	0	0	0.974531927	1.096870494	0.898675081	1.568854427	0	0	0	1.348017525	1.26855308	0	0	0	0	0.828204773	0.822940775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.369794838	0	0	4.812195512	0	0	0	0	0	0	0	0	0	0	0.868308571	0	0	0	0.78741109	0.982046874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.858375427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_80_ultra_bin_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.901160491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.184077846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_80_ultra_bin_3	0	0	0	0	0	0	0	0	1.134665012	0	0	0	0	0	0	0	0	0	0	0	0	0	1.011560788	0	0	0	0	0	0	0.963215568	1.680912115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_80_ultra_bin_7	0.993294388	0	1.003437131	0	0	0	1.024695583	0	1.623217141	0	0.932635982	0	0	0	0.732631376	0	0	0	1.630177574	0	1.115875961	0.983474451	2.169114591	1.774906788	0.937899115	0	0	0	1.287856735	1.877384686	2.215880393	1.151544116	0.844727569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.842166761	0	0.934312112	0.920422182	0	0.85038152	0	0	0	0	0	0	0	1.15647203	0.946191211	0	0	0.900099502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.435000362	4.605863708	5.206642789	2.377261895	2.656856714	6.405800689	6.431832251	5.063383052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.399687197	0	0	0	0	0	0.854358235	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.819144727	11.32257182	15.85943388	11.989642	0	9.570505737	5.970739372	1.703576582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.349920888	5.405586654	4.810550412	2.83903828	1.64875566	5.257841044	7.768803687	4.839530652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.706506523	0	0.879337495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.773664921	5.146875885	7.363769236	2.413586824	1.10647673	6.417692959	7.458192207	2.533980628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.923496063	7.912905071	7.030068862	3.499648842	3.924203534	11.1071289	11.66569215	7.916821612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN_SY_2021_04_15_bin_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.611029302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.516121928	2.630879968	0	2.854354816	2.304322751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.963487735	23.08175044	19.25285217	7.389182821	9.177781605	2.197328567	11.79751659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN_DD_2021_06_15_bin_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.98704898	9.527949659	26.94159522	2.523338177	18.53230936	7.785590802	7.067386051	6.78402793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN_DD_2021_06_15_bin_10	4.385197616	0	3.128266157	1.034195714	0	0	0	0	0.87198651	0	0	0	0	0	0.845476453	0	1.176442813	1.673828529	0.956594204	0	0	0	4.425822442	2.466501246	0	0.937832412	2.276007648	1.575191515	1.616319063	4.028984328	8.370338762	6.025356394	1.671133105	4.460818405	3.315789704	3.525035644	4.717143744	12.24731671	5.424886144	31.78598444	0	0	4.685167095	3.606293208	3.345242334	0	0	0	0	0	0	0	5.786892519	7.119649073	4.291773306	4.03072595	5.066963842	17.9136744	0	0	0	0	0	0	0	4.845689551	15.47277897	11.2030032	3.349050078	3.313337413	10.89352132	0	0	0	0	0	0	0	0	3.223359479	2.92044568	3.571130791	5.490194544	5.610884303	2.910922944	0	0	0	0	0	0	0	3.882176307	5.149093933	1.303662121	3.488125715	4.766642648	2.80016672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN_DD_2021_06_15_bin_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.90259242	9.067520623	55.64899041	0	0	16.46468566	8.294731761	8.139704182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_4	1.568060941	0	3.578873348	1.334124793	0	0	0	0	1.231940081	0	0	0	0.994268251	0	0	0	2.064357929	2.299784885	1.612424907	0	0	0	3.38803404	2.477951277	0	0	1.605737408	0	0	2.724655697	4.11952781	4.549443282	0.89490341	1.198619558	1.328713262	1.55156845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.073669028	1.425597783	1.158035553	1.777441995	2.555956291	3.211408398	0	0	0	0	0	0	0	1.846107804	4.170400548	5.750903327	1.155780348	1.221133231	1.493257126	0	0	0	0	0	0	0	0	1.410865803	1.024638943	1.637284696	2.774816431	2.703800305	0	0	0	0	0	0	0	0	1.931954573	1.463090305	0	2.032209344	1.646374061	1.443094987	0	1.235923777	0.888035106	0	1.800834189	0	1.026100585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.127944042	10.71947474	12.90809985	6.90628469	3.283851388	10.92673304	9.700234503	4.364086779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60755147	3.406901128	1.522063745	1.819249996	1.880859806	1.04636567	3.456281867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.952325277	17.55156456	22.72577049	24.15587956	1.053362562	14.24321771	10.44012033	2.178416625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.804911591	27.09452785	3.210669077	8.00868939	84.37127193	4.359976047	30.17607152	4.738385796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_WZ_2021_05_15_bin_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.754520521	3.370887056	3.780193536	2.326437692	0	2.78340437	3.060504681	1.827967193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.068720838	3.884855728	8.028993381	9.572788893	3.313062	8.151560794	2.52162467	1.072368821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_WZ_2021_05_15_bin_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.252997281	3.849499832	4.754599819	6.41419639	0	2.639077696	3.784864659	3.246881206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.974871046	6.227110189	25.2170202	5.999602943	6.101341083	8.136879429	6.012395694	7.702230383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GD_ZH_2021_05_15_bin_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.622470051	0	0	0	2.275201748	0	0	0	0	0	0	1.424600985	0	0	0	0	0.970916332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.013508077	0	2.244082402	1.310731607	1.453763184	0	0	0	0	0	0	0	0	0	0	1.373393699	0	0	0	2.796002595	2.556534149	3.008751398	1.478555672	0	3.879809946	4.144004436	2.55405761	0.978674506	0	0.920188502	1.418265913	1.780653241	0	0	0	0	0	0	0	0	0	0	0	0	1.138708801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.750468786	18.39511536	11.70725578	11.3712574	11.59169968	9.697045764	15.95480549	28.15589474
JS_LYG_2021_05_15_bin_5	0	0	0	0	0	0	0	0	1.017986923	0	0.764740637	0	0	0	0	0	0	0	0.973687605	0	0	0	1.074973226	1.033558045	0	0	0	0.975607954	0	1.068500954	0.905292702	0	0.799570759	0	0	0	0	2.613321089	5.539741103	3.647523644	6.117840508	3.405187894	6.338936858	3.626755459	6.259835906	0	0	0	0	0	0	0	0	0	0	0	0	0	10.71798098	8.973909654	4.164236589	18.71167003	7.502258557	6.432400659	2.776518153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JS_YC_2021_05_15_bin_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.656731773	8.839459699	4.311950066	7.035759688	3.552541943	4.158063168	3.802205038	9.345138011	0	0	0	0	0	0	0	0
